meeting_year,meeting_type,meeting_number,meeting_name,paper_type,paper_number,has_revisions,one_revision_name,agendas,parties,one_revision_url
1964,ATCM,3,ATCM III,wp,32,False,"Report to the Third Consultative Meeting of the Antarctic Treaty Nations on Restoration of Scott's Hut, Hut Point, McMurdo Sound.",ATCM 12,New Zealand | United States,https://documents.ats.aq/ATCM3/wp/ATCM3_wp032_e.pdf
1964,ATCM,3,ATCM III,wp,33,False,Conservation of Fauna and Flora. Joint United States of America /United Kingdom redraft of Article VI,ATCM 1,United Kingdom | United States,https://documents.ats.aq/ATCM3/wp/ATCM3_wp033_e.pdf
1964,ATCM,3,ATCM III,wp,34,True,Fauna and flora. Australian amendments to Doc.P/30 (Article IV),ATCM 1,Australia,https://documents.ats.aq/ATCM3/wp/ATCM3_wp034_e.pdf
1964,ATCM,3,ATCM III,wp,35,False,Questions concerning meetings of experts,ATCM 8,Australia,https://documents.ats.aq/ATCM3/wp/ATCM3_wp035_e.pdf
1964,ATCM,3,ATCM III,wp,36,False,"Recommendations of the Antarctic Treaty Meeting on Telecommunications. (Washington 24-28 June 1963). Draft joint recommendation proposed by Australia, the U.S.S.R. and the United States",ATCM 2,Australia | Russian Federation | United States,https://documents.ats.aq/ATCM3/wp/ATCM3_wp036_e.pdf
1964,ATCM,3,ATCM III,wp,37,False,Place and date of the next meeting,ATCM 11,Belgium,https://documents.ats.aq/ATCM3/wp/ATCM3_wp037_e.pdf
1964,ATCM,3,ATCM III,wp,38,True,Redraft of articles X and XI of the Agreed Measures. Proposed by the delegation of the United States of America.,ATCM 1,United States,https://documents.ats.aq/ATCM3/wp/ATCM3_wp038_e.pdf
1964,ATCM,3,ATCM III,wp,39,True,Draft Recommendation concerning the Meetings of Experts,ATCM 8,Belgium,https://documents.ats.aq/ATCM3/wp/ATCM3_wp039_e.pdf
1964,ATCM,3,ATCM III,wp,40,False,Recommendation by Great Britain and the United States of America,ATCM 1,United Kingdom | United States,https://documents.ats.aq/ATCM3/wp/ATCM3_wp040_e.pdf
1964,ATCM,3,ATCM III,wp,41,False,Statement by the Chairman of the South African delegation,ATCM 1,South Africa,https://documents.ats.aq/ATCM3/wp/ATCM3_wp041_e.pdf
